ADM2_PCODE,rfh_mean,rfh_median,rfh_std,rfh_cv,rfh_winter,rfh_spring,rfh_summer,rfh_autumn,r1h_mean,r1h_median,r1h_std,r1h_cv,r1h_winter,r1h_spring,r1h_summer,r1h_autumn,r3h_mean,r3h_median,r3h_std,r3h_cv,r3h_winter,r3h_spring,r3h_summer,r3h_autumn
MA001005,11.457544674185465,13.5744,7.3808088208956555,0.6441876537060388,18.09015248756219,14.098823880597015,1.6305777777777775,11.87011111111111,34.3586555764411,44.7805,21.19156768125778,0.616775229581111,56.31425049751243,44.44874228855721,6.607155555555554,29.578933333333325,102.9807989348371,119.5773,56.48398719566633,0.548490473757225,156.26606965174128,150.00400074626864,54.04535555555556,50.087944444444446
MA009004,8.026914598997495,8.2147,5.772784998728824,0.7191785744736594,12.846405223880597,10.132822885572141,0.8384444444444444,8.185055555555554,24.10605426065163,26.7441,16.40854674335958,0.6806815651345849,39.57842810945274,32.877469900497516,3.3275333333333332,20.273455555555557,72.4475429197995,83.7846,43.38494157253535,0.598846279998248,108.94964427860695,114.48836094527364,30.450544444444446,34.71157777777777
MA008005,13.260157706766917,15.0622,9.332710871447873,0.703815978499653,21.524344527363183,14.893753233830846,1.0778111111111113,15.394755555555557,39.74334780701755,53.7463,26.732863032214937,0.6726374225448283,68.10846243781094,47.8396935323383,5.2419777777777785,37.230811111111116,119.06243001253132,133.5813,71.16768421086395,0.5977341820032864,196.22599452736318,167.23888980099503,52.386811111111115,58.498933333333326
MA006004,6.47317030075188,7.2567,4.220722725263544,0.6520333204849088,9.19918631840796,8.557434079601991,0.8405888888888888,7.222588888888889,19.450578634085215,24.5393,11.81016222744197,0.607188220444292,28.909769651741293,27.140520646766166,3.5517777777777777,17.94041111111111,58.656143358395994,70.3187,31.79092033278262,0.5419879063397729,83.40837611940297,89.24257711442787,30.295333333333332,30.83982222222222
MA001001,14.241341290726817,15.4511,9.749695147917938,0.6846051189199719,22.391120149253734,19.26808955223881,2.165333333333333,12.941177777777778,42.68173126566417,43.7902,27.800241514809077,0.6513381882701023,68.68105472636816,60.96483557213931,8.569066666666666,31.84102222222222,127.61390789473684,132.729,73.70203703538641,0.5775392216354663,181.81731890547263,204.94241592039802,65.86288888888889,55.84010000000001
MA005002,3.4204534461152885,3.0644,3.1795568887360863,0.9295717479643538,7.352562935323384,2.266162686567164,0.16613333333333333,3.8548666666666667,10.311851879699248,8.0909,9.254686119545765,0.8974805134434964,23.161612935323387,8.166287562189053,0.6799000000000001,9.077422222222223,31.614276817042608,26.1221,27.08148167453318,0.8566218936861497,64.59775273631841,40.63327562189055,6.268633333333333,14.321044444444443
MA005001,2.0851687969924813,2.0934999999999997,1.815887315819192,0.8708586654655085,4.116339303482587,1.1704860696517412,0.11686666666666667,2.920066666666667,6.254404887218046,6.2178,5.131133015353938,0.8204030771721051,12.848394776119404,3.9134514925373134,0.5698222222222222,7.621511111111112,18.84636635338346,17.5212,13.162407066751154,0.6984055610480122,36.941897014925374,19.77383009950249,3.959788888888889,14.42172222222222
MA002006,10.877561215538849,11.5333,8.953606673231752,0.823126296034199,19.238353482587065,9.796766169154228,0.4629666666666667,13.901855555555555,32.57866340852131,38.8,25.45782928644394,0.7814264497967452,62.52680149253732,32.824807462686564,2.285188888888889,32.22036666666666,97.29460520050125,92.8167,67.8841190230342,0.6977171949373866,180.2148482587065,128.6652042288557,31.78705555555556,46.77963333333334
MA002004,10.10416021303258,10.7922,8.178346710604878,0.8094039027663334,18.483600746268657,9.368305970149253,0.3867111111111111,12.062211111111111,30.30409298245614,36.352,23.379670650985755,0.7715020761228815,59.03102164179105,31.49663606965174,2.2760222222222226,27.959366666666668,90.87561998746867,93.0814,62.912571953295924,0.6922931800847276,164.50191094527364,126.83623905472636,29.949900000000003,40.55402222222222
MA004006,13.553389849624061,16.9712,9.066677141407267,0.6689601082830768,21.513359701492536,15.826081592039802,1.4157555555555557,15.303322222222222,40.62709868421052,53.265,25.65981974358812,0.6315937040702504,67.04312189054725,50.60351666666667,6.91198888888889,37.39836666666667,121.67891253132832,137.7299,68.60649224192788,0.5638322270858885,189.86369353233832,174.37687761194033,60.89329999999999,59.75022222222223
